Model,Train_Acc,Val_Acc,Test_Acc,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time
XGBoost,1.0,0.9999945336372631,0.9999872791801977,0.999988406341446,0.9999872791801977,0.9999875739931765,0.9546626681124557,0.03789782524108887
Random Forest,1.0,0.9999945336372631,0.999992730960113,0.9999931135411597,0.999992730960113,0.9999928291771703,0.9733249887332752,0.1286470890045166
Logistic Regression,1.0,0.9994078107035027,0.9993821316096017,0.9998920229997361,0.9993821316096017,0.9995990560164634,0.41791062492269954,0.4362757205963135
LSTM + Attention,0.5109780439121756,0.9998323648760684,0.9998309948226264,0.999926252286237,0.9998309948226264,0.9998641469240627,0.6605224288389149,99.41667556762695
GRU + Attention,0.4870259481037924,0.9997722348859626,0.9997764770234735,0.9999174684394363,0.9997764770234735,0.9998279501592369,0.6075756964116807,148.1798801422119
