Rank,Model,Test_Acc,Test_F1,Test_MCC,Training_Time
1,Random Forest,0.999992730960113,0.9999928291771703,0.9733249887332752,0.1286470890045166
2,XGBoost,0.9999872791801977,0.9999875739931765,0.9546626681124557,0.03789782524108887
3,LSTM + Attention,0.9998309948226264,0.9998641469240627,0.6605224288389149,99.41667556762695
4,GRU + Attention,0.9997764770234735,0.9998279501592369,0.6075756964116807,148.1798801422119
5,Logistic Regression,0.9993821316096017,0.9995990560164634,0.41791062492269954,0.4362757205963135
